Likes,seconds,followers
78,123001.1648,8629845
514,300165.3909,582150
2398,70796.75716,181486
2040,71643.05514,71437
7750,8896.947741,5978307
1352,11032.69187,4108697
997,18205.0491,277712
3080,8012.47757,5978309
3505,10626.33576,5978309
2323,8317.626672,5493596
537,8708.547655,2248454
1605,9936.87794,2248454
223,8926.720717,1512737
1182,8457.744196,105150
473,8868.164567,2868
37218,12282.55761,4233656
41,577826.1965,2620
4237,9087.607619,1749290
23157,41882.55215,2226312
1041,5058.24215,13788065
4,1509.982778,1787042
598,523.0063117,13788065
32,1566.235782,13788065
510,2563.022789,13788066
40,7529.485222,16155
1833,2553.545779,24613
658,3497.582677,14627
1172,21882.2039,568055
106,6231.867356,508
2333,1842.662427,287827
243,1511.659039,4680
429,1320.940822,4334897
21,2240.526709,2683
49,2263.549957,15693
32,2316.574952,281
536,2433.68922,499666
19,1489.929391,1320
24,1373.518291,680
676,4165.768653,81644
5829,1716.95016,8239886
390,2984.965013,5276829
6997,2167.201268,4233933
754,4195.300439,2471479
2,140.2578895,3510
24,2911.245954,4041
1,917.765718,3510
0,657.8319933,325
4033,298.7342627,5979574
3467,2338.503519,5979582
2801,3411.527702,5979583
89,69.34204745,2248823
218,232.4459856,2248857
1063,557.0320263,2248858
608,915.7264171,2248859
466,1552.648035,2248859
468,2364.070948,2248861
1202,2668.337452,2248861
1925,3549.38889,2248859
909,4234.079839,2248861
30,2114.18225,792843
114,2147.187547,792843
1511485,43474.10288,86630661
4,1117.74357,584
27734,13995.43569,77084
4820,431.2023568,2037822
5594,913.2799172,375754
2044,995.3494461,851993
3879,1953.45707,2124545
1804,2223.046665,2124545
10756,5286.634981,2124546
2616,4769.71181,33963980
132,678.2756095,1941
94,1140.068587,115113
1,162.0187514,167
1330,3447.656345,9083736
376,3120.022091,149551
294,3430.604636,149551
123,283.7048852,118389
26,912.8359983,2758
193,3663.526141,331
39,6171.990449,137960
52,94.89296722,2077126
57,231.1932445,2077125
112,548.737499,2077126
163,1048.761306,2077128
30,2643.876349,732968
15,2195.452578,110949
9,1629.581767,1020
334,2119.555025,1037411
4759,4590.372174,457502
1178,1556.544914,30625935
826,2310.039805,30625936
1775,6192.191226,30625936
135,157.8077736,2248978
323,706.3940258,5494574
401,1685.086616,5494579
402,2766.776664,5494578
1092,797.622175,19822
170,2200.441435,4636
180,1907.493689,28861
10,523.36484,52
122,42962.16815,8053
1215,599.05564,33964007
2788,5014.137242,23244968
652,1579.028713,17098
103,255.7980366,267505
49,1206.417752,1611
459,2322.170357,2919
62,865.9236808,1022
66,4954.54622,53494